Eb_N0_dB,Simulated_BER,Theoretical_BER
0,0.14178,0.1391600135710116
1,0.11866,0.11834583884997399
2,0.09729,0.09755935237670886
3,0.078,0.07741543426555975
4,0.05913,0.05861845741925091
5,0.04189,0.04189230318126343
6,0.0273,0.027871306319660706
7,0.01611,0.016966733896638594
8,0.00895,0.009247213737517426
9,0.00425,0.004390336087342222
10,0.00175,0.0017541506178927247
11,0.00062,0.0005647061064817435
12,0.00015,0.00013865868881261898
13,2.4390243902439026e-05,2.4233785466315877e-05
14,2.7e-06,2.763208001687779e-06
15,1.5e-07,1.8418555110944843e-07
16,0.0,6.250200827741961e-09
17,0.0,9.071625389565107e-11
