Eb_N0_dB,Simulated_BER_Rayleigh,Theoretical_BER_Rayleigh,Theoretical_BER_AWGN
0,0.1473,0.21132486540518713,0.07864960352514258
1,0.12601,0.18923450365983774,0.05628195197654147
2,0.10767,0.16754574643521758,0.03750612835892598
3,0.09012,0.14665629795039437,0.02287840756108532
4,0.0767,0.12692948678759652,0.01250081804073755
5,0.06383,0.10866443003567677,0.005953867147778662
6,0.05356,0.0920748331976623,0.002388290780932807
7,0.04411,0.07727979733883372,0.0007726748153784446
8,0.03592,0.0643069433052616,0.00019090777407599314
9,0.02864,0.05310538813341992,3.3627228419617505e-05
10,0.02409,0.04356453541236155,3.872108215522035e-06
11,0.01925,0.0355345007962391,2.613067953575199e-07
12,0.01553,0.028844909467059754,9.006010350628754e-09
13,0.01266,0.023320150814400864,1.3329310175300506e-10
14,0.00966,0.018790430538692338,6.810189128780772e-13
15,0.00772,0.015098846967749435,9.123957362628105e-16
16,0.00629,0.012105192097174144,2.267395844454418e-19
17,0.00479,0.009687325616742404,6.758969770654687e-24
18,0.00399,0.007740916624016048,1.3960143109067526e-29
19,0.00304,0.0061782004169791405,1.0010739735708612e-36
20,0.00233,0.004926228511662856,1.0442437918812723e-45
21,0.00224,0.0039249372709608266,5.299697228870346e-57
22,0.00172,0.0031252392423843367,3.2960881192844742e-71
23,0.00115,0.0024872530176954233,4.4276384984347765e-89
24,0.00089,0.001978727477925879,1.4444190657726129e-111
25,0.000815,0.0015736781410429224,7.3069691846479e-140
26,0.000605,0.001251230760142108,1.7951632271200898e-175
27,0.00051,0.0009946552482627546,2.7359799656688465e-220
28,0.00038,0.0007905676439836085,1.0684607375563557e-276
29,0.0002725,0.0006282765245982924,0.0
30,0.000224,0.0004992512478164679,0.0
